PHY_ExG_Response.csv
Serial number : 240315(HUS VM)
From : 2017/04/05 00:00
To   : 2017/04/06 00:00
sampling rate : 1

"No.","time","E1-1","E1-2","E1-3","E1-4","E1-5","E1-6","E1-7","E1-8","E1-9","E1-10","E1-11","E1-12","E1-13","E1-14","E1-15","E1-16","E1-17","E1-18"
"238","2017/04/05 03:58",1,2,1,1,-3,-3,2,-3,1,1,-3,2,1,1,2,1,-3,-3
"239","2017/04/05 03:59",1,1,-3,2,1,-3,-3,1,1,1,1,4,-3,1,3,1,1,-3
"240","2017/04/05 04:00",-3,1,1,1,-3,1,1,1,1,1,-3,4,-3,-3,-3,1,1,1
"241","2017/04/05 04:01",5,3,4,4,6,4,6,4,6,4,8,7,4,3,4,4,3,4
"242","2017/04/05 04:02",4,4,3,4,3,5,4,3,5,5,6,7,4,5,3,3,4,4
"243","2017/04/05 04:03",4,4,6,6,4,4,4,4,4,6,6,8,4,5,5,4,5,6
"244","2017/04/05 04:04",3,4,4,4,4,4,3,5,4,4,6,6,4,3,4,3,3,4
"245","2017/04/05 04:05",4,3,5,3,4,4,4,6,4,6,6,6,3,4,4,3,4,3
"246","2017/04/05 04:06",4,3,4,3,4,3,2,3,3,3,4,4,4,3,3,3,3,3
"247","2017/04/05 04:07",2,1,1,3,1,3,1,2,3,6,3,4,3,2,2,2,3,1
"248","2017/04/05 04:08",1,4,2,1,1,2,1,1,1,2,2,4,1,1,2,1,2,1
